date,runoff_coefficient,evapotranspiration_ratio,storage_efficiency,water_balance_index,aridity_index,wb_error_pct
2023-01-15,0.043862269919902656,0.5963281970917291,0.0030868046,0.4036717244210906,0.5963281970917291,35.98094404665865
2023-01-16,0.052306595782839735,0.7068725548428849,0.0030956992,0.2931273522314481,0.7068725548428849,23.982892882484343
2023-01-17,0.029976513889344015,0.39040351850162636,0.0031007659,0.6095964285843222,0.39040351850162636,57.9298227140277
2023-01-18,0.014040299188991027,0.18850328360207663,0.0030938273,0.8114966908298245,0.18850328360207663,79.76692775762658
2023-01-19,0.024465848253720834,0.35966439142689893,0.0030814835,0.6403355604234581,0.35966439142689893,61.65829301565113
2023-01-20,0.047415290421440305,0.7300371411567714,0.0030729405,0.2699627623164519,0.7300371411567714,22.353707005767966
2023-01-21,0.04842251035333387,0.7491145101843351,0.0030700124,0.25088539110620267,0.7491145101843351,20.280964791894355
2023-01-22,0.033205896605237865,0.5102668226770842,0.0030689617,0.48973310980013623,0.5102668226770842,45.66123188940105
2023-01-23,0.030512965811066554,0.47675293455569984,0.0030668918,0.5232470026742001,0.47675293455569984,49.28899667540415
2023-01-24,0.024381982189828216,0.38268598774899437,0.0030682052,0.6173139619038496,0.38268598774899437,59.285263527417875
2023-01-25,0.022575825503365256,0.35534082193445415,0.0030673936,0.6446591305468173,0.35534082193445415,62.212956701868485
2023-01-26,0.019651598682319086,0.3242818287283557,0.003052322,0.6757181279212029,0.3242818287283557,65.68505388921321
2023-01-27,0.03147879110241909,0.5420269513465794,0.0030386713,0.4579729764398298,0.5420269513465794,42.76771459739849
2023-01-28,0.03242423592932224,0.5728946398053064,0.003024767,0.42710528390099567,0.5728946398053064,39.5954027199173
2023-01-29,0.04720995614999543,0.8596858884530016,0.0030107957,0.1403139979705861,0.8596858884530016,9.500820096876867
2023-01-30,0.056179908866159985,1.0222416905079852,0.0030067659,-0.022241824677072364,1.0222416905079852,-7.7772860781748125
2023-01-31,0.027965900271236813,0.4882484469246481,0.0030085729,0.511751488544367,0.4882484469246481,48.36456504971219
2023-02-01,0.04779222269405643,0.8141742635713023,0.003015896,0.18582562886141665,0.8141742635713023,13.708805152018657
2023-02-02,0.033078617523750554,0.5617943077754186,0.0030227893,0.43820561924667273,0.5617943077754186,40.452337905389584
2023-02-03,0.20675619041650303,1.5,0.0030289257,-2.424837560648355,3.4248371126011583,-263.48932262020026
2023-02-04,0.04959764769288715,0.7887592148822175,0.0030312522,0.21124068143239355,0.7887592148822175,16.135357804405974
2023-02-05,0.17991080222517303,1.5,0.003029734,-1.840022304140405,2.8400219335898007,-201.92579098830774
2023-02-06,0.03893824321022498,0.5878818235660536,0.0030315905,0.4121180989836827,0.5878818235660536,37.3007294910971
2023-02-07,0.026490981814968676,0.3955176940478089,0.0030293202,0.6044822531772477,0.3955176940478089,57.81350456070092
2023-02-08,0.040795380089963834,0.6388016030514253,0.0030213965,0.36119831284385423,0.6388016030514253,32.12026592408988
2023-02-09,0.04256699743600847,0.651584464237856,0.0030318582,0.3484154496852974,0.651584464237856,30.476784182144005
2023-02-10,0.024970090622606293,0.3795454350733025,0.0030392224,0.620454514586585,0.3795454350733025,59.50395211553198
2023-02-11,0.0250403461336771,0.3788039807227267,0.0030474341,0.6211959685374557,0.3788039807227267,59.56556328059629
2023-02-12,0.033975936116670255,0.5302653332635252,0.0030458744,0.46973459594309325,0.5302653332635252,43.58911620469182
2023-02-13,0.047954428376345636,0.7741130910332583,0.0030388092,0.22588680677093498,0.7741130910332583,17.879881127331167
2023-02-14,0.03711530573501737,0.5981271353417565,0.0030350597,0.4018727855535751,0.5981271353417565,36.51133943783867
2023-02-15,0.01830075674744761,0.2928900800223882,0.0030330913,0.7071098806133199,0.2928900800223882,68.89020899249476
2023-02-16,0.01330938130544608,0.2221065172598978,0.0030242372,0.7778934527391228,0.2221065172598978,76.49028400303314
2023-02-17,0.015342266788549056,0.2741467714512579,0.003009091,0.725853191822344,0.2741467714512579,71.1178425348123
2023-02-18,0.03105695880269103,0.5805249100991398,0.0030001234,0.4194750127990708,0.5805249100991398,38.92477136264175
2023-02-19,0.024273350727924373,0.4601670392752925,0.002994028,0.5398328996436838,0.4601670392752925,51.60063280786616
2023-02-20,0.01329770165799698,0.2533058069914301,0.002988322,0.7466941592257119,0.2533058069914301,73.36277615513121
2023-02-21,0.013550444881351724,0.2651634903064018,0.0029840188,0.7348364743192458,0.2651634903064018,72.14687046103111
