year_month,wb_input,wb_evapotranspiration,wb_runoff,wb_delta_storage,wb_output,wb_residual,wb_error_pct,evapotranspiration_coef,runoff_coef
2023-01,276.1957865265162,128.05803,8.246508,-0.093878314,136.21065,139.98513417513678,50.68329804331194,0.4636494668701634,0.029857470848352764
2023-02,448.1509448056039,211.01128,12.263,-0.020096734,223.25418,224.896761513215,50.183261603729676,0.47084866983076057,0.027363547208243195
2023-03,316.87997972331715,236.01952,16.314213,0.17436045,252.50809,64.37189351878834,20.314282199794274,0.7448230594980809,0.05148388614931424
2023-04,284.9831341523696,229.52405,17.62709,0.10354933,247.25468,37.728448750453104,13.238835599966695,0.8053951983307361,0.06185310055814402
2023-05,107.44947741212798,238.90506,22.493616,-0.042231575,261.35645,-153.90696408567476,-143.2365855656895,2.2234176058215764,0.20934132622954096
2023-06,88.79494859527344,231.58353,23.081308,-0.0062558167,254.65857,-165.8636283700586,-186.79398898931018,2.6080709575821,0.25993943045197937
2023-07,54.81447810872495,237.98834,21.697456,-0.14020836,259.5456,-204.73110084787905,-373.49821466294213,4.341705886775105,0.39583440558945404
2023-08,17.009284890856613,238.95659,21.985395,0.13621108,261.0782,-244.06890591267123,-1434.9156541831726,14.048597003250205,1.29255260127584
2023-09,14.82877318907218,232.92657,24.085602,0.16356331,257.17575,-242.34696514558357,-1634.30208091089,15.707744109181105,1.6242477715142418
2023-10,30.423602185987985,245.55887,31.859486,0.16464151,277.583,-247.15939704344316,-812.3935732808791,8.071327875871933,1.0471963652250895
2023-11,202.36830621875293,236.01012,29.83045,-0.10393177,265.73663,-63.368329943051265,-31.313366610589057,1.1662405096281723,0.14740672892591067
2023-12,188.60584916855512,240.27217,24.770199,-0.04428181,264.99808,-76.392228224023,-40.50363663468129,1.2739380675610914,0.13133314227113185
2024-01,401.5240943366331,237.08827,20.334185,-0.2161688,257.20627,144.31781172097146,35.94250342559818,0.5904708470519693,0.0506425017412741
2024-02,363.2375055318749,222.3957,17.80677,0.12233799,240.32481,122.91269025858996,33.83810538513431,0.6122597550908523,0.049022389080205946
2024-03,359.12875888164217,238.33351,20.224005,0.011548022,258.56906,100.559696648671,28.001014644945837,0.6636436249069279,0.05631407745918953
2024-04,343.65681607575516,232.68411,22.367678,0.048520155,255.10031,88.55651051850415,25.76887933492758,0.6770827804490152,0.0650872517065628
2024-05,0.0,7.7033205,0.80067754,0.002629768,8.506628,-8.506628036499023,-850662803.6499023,inf,inf
